Assembly-AssemblyType,Category-Connection,Category-Coordinate,Category-Document,Category-Element,Category-Facility,Category-Floor,Category-Impact,Category-Issue,Category-Job,Category-Product,Category-Resource,Category-Role,Category-Space,Category-Spare,Category-Zone,Document-ApprovalBy,Impact-ImpactStage,Issue-Chance,Issue-Impact,Issue-Risk,Job-Status,SheetName,SheetName-Assembly,SheetName-Coordinate,Stage,Type-AssetType,Units-Area,Units-Currency,Units-Duration,Units-Impact,Units-Linear,Units-Volume,objAssembly,objAttribute,objAttributeType,objComponent,objConnection,objContact,objCoordinate,objDocument,objFacility,objFloor,objImpact,objIssue,objJob,objProject,objResource,objSite,objSpace,objSpare,objSystem,objType,objWarranty,objZone
Excluded,Control,Point,Manufacturer Instructions,21-01 00 00 Substructure,11-11 00 00 Assembly Facility,Floor,Cost,Change,Capital Project,23-11 00 00 Site Products,Labor,34-10 00 00 Entrepreneurial Roles,13-11 00 00 Space Planning Types,Lubricant,Circulation Zone,Owner Approval,Installation,Has Occurred,Very High,Very High,Open,Assembly,Attribute,Component,Approved,Fixed,Square Inches,Dollars,As required,Currency,Inches,Cubic Feet,IfcRelAggregates,IfcPropertyObjectReference,BoundedValue,IfcBeam ,IfcRelConnectsElements,IfcOrganization,IfcBoundingBox,IfcDocumentInformation,IfcBuilding,IfcBuildingStorey,IfcPropertySet,IfcApproval,IfcProcedure,IfcProject,IfcConstructionProductResource,IfcSite,IfcSpace,IfcConstructionProductResource,IfcSystem,IfcActuatorType ,Pset_Warranty,IfcZone
Fixed,Flow,Line-end-one,Operation and Maintenance,21-01 10 Foundations,11-11 11 00 Convention and Exhibition Facility,Roof,Climate Change,Claim,Emergency Repair,23-11 11 00 Ground Anchorages,Material,34-10 11 00 Owner,13-11 11 00 Planned Work Space,Other,Fire Alarm Zone,Contractor Certified,Maintenance,High,High,High,Closed,Attribute,Component,Floor,As Built,Moveable,Square Feet,Euros,Day,Kg CO2e,Feet,Cubic Meters,,IfcPropertySingleValue,EnumeratedValue,IfcBuildingElementPart  ,,IfcPerson,IfcCartesianPoint,IfcDocumentReference,,,,Pset_Risk,IfcTask,,IfcCrewResource,,,ifcConstraint,,IfcAirTerminalBoxType ,,
Included,Return,Line-end-two,Warranty,21-01 10 10 Standard Foundations,11-11 11 11 Convention Center,Site,Primary Energy Consumption,Coordination,Noise Issue,23-11 11 11 Retaining Stabilizing Ground Anchors,Tools,34-10 11 11 Developer,13-11 13 00 Planned Building Service Space,Part,Historical Preservation Zone,Information Only,Production,Moderate,Moderate,Moderate,,Component,Connection,Space,Exact Requirement,,Square Miles,,Minute,MJ,Miles,,,,ListValue,IfcBuildingElementProxy  ,,IfcPersonAndOrganization,,,,,,,,,IfcLaborResource,,,,,IfcAirTerminalType ,,
Layer,Supply,Box-lowerleft,Maintenance Video,21-01 10 10 10 Wall Foundations,11-11 11 17 Conference Facility,,,Environmental,Occupant Initiated,23-11 11 11 11 Retaining Stabilizing Ground Components,Training,34-10 11 14 Corporate Entity,13-11 15 00 Planned Amenity/Support Space,PartSet,Lighting Zone,,Replacement,Low,Low,Low,,Connection,Coordinate,,Maximum Requirement,,Square Millimeters,,Month,,Millimeters,,,,ReferenceValue,IfcChamferEdgeFeature ,,,,,,,,,,,,,,,,IfcAirToAirHeatRecoveryType ,,
Mix,Structural,Box-upperright,Picture,21-01 10 10 30 Column Foundations,11-11 14 00 Meeting Facility,,,Function,Preventative Maintenance,23-11 11 11 11 11 Stabilizing Ground Anchor Heads,,34-10 11 17 Public Entity,13-11 17 00 Planned Circulation Space,Spare,Occupancy Zone,,Reuse,Unknown,Unknown,Unknown,,Contact,Document,,Minimum Requirement,,Square Meters,,Quarter,,Meters,,,,SetValue,IfcColumn ,,,,,,,,,,,,,,,,IfcAlarmType ,,
Optional,,,Training Video,21-01 10 10 90 Standard Foundation Supplementary Components,11-11 14 11 Club or Organization Building,,,IndoorAirQuality,Routine Maintenance,23-11 11 11 11 13 Stabilizing Ground Tendons,,34-10 21 00 Partner,13-11 19 00 Planned Parking Space,SpareSet,Ventilation Zone,,Use,,,,,Coordinate,Facility,,Requirement,,Square Kilometers,,Week,,Kilometers,,,,SingleValue,IfcCovering ,,,,,,,,,,,,,,,,IfcBeamType ,,
,,,Other,21-01 10 20 Special Foundations,11-11 14 14 Ceremonial Hall,,,Installation,Unit/Space Maintenance,23-11 11 11 13 Stabilizing Ground Grouted Anchors,,34-11 00 00 Management Roles,13-13 00 00 Void Areas,,,,,,,,,Document,Floor,,Submitted,,,,Year,,,,,,TableValue,IfcCurtainWall  ,,,,,,,,,,,,,,,,IfcBoilerType ,,
,,,,21-01 10 20 10 Driven Piles,11-11 21 00 Entertainment Assembly Facility,,,RFI,Other,23-11 11 11 15 Stabilizing Ground Plate Anchors,,34-11 10 00 Strategic Management Roles,13-13 11 00 Light Well,,,,,,,,,Facility,Issue,,,,,,,,,,,,,IfcDiscreteAccessory,,,,,,,,,,,,,,,,IfcBuildingElementProxyType ,,
,,,,21-01 10 20 15 Bored Piles,11-11 21 11 Cinema,,,Safety,,23-11 11 11 17 Stabilizing Ground Rock Bolts,,34-11 10 11 President,13-13 13 00 Air Shaft,,,,,,,,,Floor,Job,,,,,,,,,,,,,IfcDistributionChamberElement  ,,,,,,,,,,,,,,,,IfcCableCarrierFittingType ,,
,,,,21-01 10 20 20 Caissons,11-11 21 17 Performing Arts Facility,,,Specification,,23-11 11 11 19 Stabilizing Ground Rock Anchors,,34-11 10 11 11 Vice President,13-13 15 00 Occupant Void Area,,,,,,,,,Impact,Resource,,,,,,,,,,,,,IfcDistributionControlElement ,,,,,,,,,,,,,,,,IfcCableCarrierSegmentType ,,
