col1,col2,col3,col4,col5,col6,col7
13-11 00 00 Space Planning Types,,,,,,
,13-11 11 00 Planned Work Space,,,,,
,13-11 13 00 Planned Building Service Space,,,,,
,13-11 15 00 Planned Amenity/Support Space,,,,,
,13-11 17 00 Planned Circulation Space,,,,,
,13-11 19 00 Planned Parking Space,,,,,
13-13 00 00 Void Areas,,,,,,
,13-13 11 00 Light Well,,,,,
,13-13 13 00 Air Shaft,,,,,
,13-13 15 00 Occupant Void Area,,,,,
13-15 00 00 Wall Spaces,,,,,,
,13-15 11 00 Exterior Wall Space,,,,,
,13-15 13 00 Interior Wall Space,,,,,
13-17 00 00 Encroachment Spaces,,,,,,
,13-17 11 00 Interior Encroachment,,,,,
,13-17 13 00 Perimeter Encroachment,,,,,
13-21 00 00 Parking Spaces,,,,,,
,13-21 11 00 Exterior Parking Spaces,,,,,
,,13-21 11 11 Exterior Parking Circulation,,,,
,,13-21 11 13 Exterior Parking Access Control Point,,,,
,,13-21 11 15 Exterior Parking Stall,,,,
,13-21 13 00 Interior Parking Spaces,,,,,
,,13-21 13 11 Interior Parking Ramp and Circulation,,,,
,,13-21 13 13 Interior Parking Access Control Point,,,,
,,13-21 13 15 Interior Parking Stall,,,,
,,13-21 13 17 Interior Vehicle Service Space,,,,
13-23 00 00 Facility Service Spaces,,,,,,
,13-23 11 00 Vertical Penetration,,,,,
,,13-23 11 11 Mechanical Circulation,,,,
,,,13-23 11 11 11 Elevator Shaft,,,
,,,13-23 11 11 13 Elevator Pit,,,
,,,13-23 11 11 15 Elevator Cab,,,
,,,13-23 11 11 17 Elevator Machine Room,,,
,,,13-23 11 11 19 Dumbwaiter,,,
,,,13-23 11 11 21 Escalator,,,
,,,13-23 11 11 23 Freight Elevator,,,
,,13-23 11 13 Stairway,,,,
,,,13-23 11 13 11 Egress Stairway,,,
,,,13-23 11 13 13 Tenant Stairway,,,
,,13-23 11 15 Monumental Stair,,,,
,,13-23 11 17 Ramp,,,,
,,13-23 11 19 Chimney,,,,
,,13-23 11 21 Chute,,,,
,,13-23 11 23 Service Riser Space,,,,
,,,13-23 11 23 11 Power Distribution Riser,,,
,,,13-23 11 23 13 Information Signal Distribution Riser,,,
,,,13-23 11 23 15 Gas Distribution Riser,,,
,,,13-23 11 23 17 Liquid Distribution Riser,,,
,"13-23 12 00 Horizontal Infrastructure/Service Space, Non-Occupied",,,,,
,,13-23 12 11 Power Distribution Network,,,,
,,13-23 12 13 Information Signal Network,,,,
,,13-23 12 15 Gas Distribution Network,,,,
,,13-23 12 17 Liquid Distribution Spaces,,,,
,13-23 13 00 Control Room,,,,,
,,13-23 13 11 Fire Command Center,,,,
,,13-23 13 13 Guard Stations,,,,
,13-23 15 00 Loading Dock,,,,,
,13-23 17 00 Restroom,,,,,
,,13-23 17 11 Men's Restroom,,,,
,,13-23 17 13 Women's Restroom,,,,
,,13-23 17 15 Unisex Restroom,,,,
,13-23 19 00 Utility Equipment Room,,,,,
,,13-23 19 11 Refrigerant Machinery Room,,,,
,,13-23 19 13 Furnace Room,,,,
,,13-23 19 15 Incinerator Room,,,,
,,13-23 19 17 Fuel Room,,,,
,,13-23 19 19 Gas Room,,,,
,,13-23 19 21 Liquid Storage Room,,,,
,,"13-23 19 23 Liquid Use, Dispensing and Mixing Room",,,,
,,13-23 19 25 Hydrogen Cutoff Room,,,,
,,13-23 19 27 Electrical Room,,,,
,,13-23 19 29 Switch Room,,,,
,,13-23 19 31 Telecommunications Room,,,,
,,13-23 19 33 Transformer Vault,,,,
,13-23 21 00 Waste and Recycling Spaces,,,,,
,,13-23 21 11 Hazardous Waste Storage,,,,
,13-23 23 00 Building Service Support Spaces,,,,,
,,13-23 23 11 Building Manager Office,,,,
,,13-23 23 13 Custodial Space,,,,
,,13-23 23 15 Shop Area,,,,
,,13-23 23 17 Access Chamber,,,,
,,13-23 23 19 Areaway,,,,
,,13-23 23 21 Service Space,,,,
,,13-23 23 23 Furred Space,,,,
,,13-23 23 25 Crawl Space,,,,
,,13-23 23 27 Attic Space,,,,
,,13-23 23 29 Plenum,,,,
,13-23 25 00 Equipment Platform,,,,,
,13-23 27 00 Interstitial Space,,,,,
,13-23 29 00 Unimproved Shell,,,,,
,13-23 31 00 Alteration or Conversion Space,,,,,
13-25 00 00 Circulation Spaces,,,,,,
,13-25 11 00 Primary Circulation Spaces,,,,,
,,13-25 11 11 Corridor,,,,
,,13-25 11 13 Aisle,,,,
,,13-25 11 15 Mall,,,,
,,13-25 11 17 Concourse,,,,
,,13-25 11 19 Breezeway,,,,
,,13-25 11 21 Moving Walkway,,,,
,13-25 13 00 Transitional Circulation Spaces,,,,,
,,13-25 13 11 Entry Vestibule,,,,
,,13-25 13 13 Entry Lobby,,,,
,,13-25 13 15 Box Lobby,,,,
,,13-25 13 17 Vestibule,,,,
,,13-25 13 19 Elevator Lobby,,,,
,,13-25 13 21 Freight Elevator Vestibule,,,,
,,13-25 13 23 Landing,,,,
,,13-25 13 25 Anteroom,,,,
,,13-25 13 27 Air Lock,,,,
,,13-25 13 29 Sally Port,,,,
,,13-25 13 31 Jet Way,,,,
,13-25 15 00 Connector,,,,,
,13-25 17 00 External Circulation Spaces,,,,,
,13-25 19 00 Secondary Circulation Spaces,,,,,
,,13-25 19 11 Door Set-Back,,,,
,13-25 21 00 Restricted Spaces,,,,,
,13-25 23 00 Refuge Spaces,,,,,
13-31 00 00 Education and Training Spaces,,,,,,
,13-31 11 00 Breakout Space,,,,,
,13-31 13 00 Lecture and Classroom Spaces,,,,,
,,13-31 13 11 Lecture Classroom,,,,
,,13-31 13 13 Classrooms (age 9 plus),,,,
,,13-31 13 15 Classrooms (ages 5–8),,,,
,,13-31 13 17 Lecture Hall (Fixed Seats),,,,
,,13-31 13 19 Assembly Hall,,,,
,,13-31 13 21 Seminar Room,,,,
,13-31 15 00 Class Laboratories,,,,,
,,13-31 15 11 Open Class Laboratory,,,,
,,,13-31 15 11 11 Physics Teaching Laboratory,,,
,,,13-31 15 11 13  Astronomy Teaching Laboratory,,,
,,13-31 15 13 Research/non-class Class Laboratory,,,,
,,13-31 15 15 Laboratory Service Space,,,,
,13-31 17 00 Training Spaces,,,,,
,,13-31 17 11 Computer Lab,,,,
,,13-31 17 13 Woodshop/Metalshop,,,,
,,13-31 17 15 Training Support Space,,,,
,,13-31 17 17 Religious Education Space,,,,
,13-31 19 00 Study Spaces,,,,,
,,13-31 19 13 Study Room,,,,
,,13-31 19 15 Study Service,,,,
13-33 00 00 Recreation Spaces,,,,,,
,13-33 11 00 Athletic Recreation Spaces,,,,,
,,13-33 11 11 Athletic Spectator Seating,,,,
,,,13-33 11 11 11 Bleacher,,,
,,13-33 11 13 Team Athletic Recreation Spaces,,,,
,,,13-33 11 13 11 Baseball Field,,,
,,,13-33 11 13 13 Softball Fields,,,
,,,13-33 11 13 15 Dugouts,,,
,,,13-33 11 13 17 Grass Playing Fields,,,
,,,13-33 11 13 19 Synthetic Fields,,,
,,,13-33 11 13 21 Football Field,,,
,,,13-33 11 13 23 Soccer Field,,,
,,,13-33 11 13 25 Basketball Courts,,,
,,,13-33 11 13 27 Field Light Poles,,,
,,,13-33 11 13 29 Press Box,,,
,,,13-33 11 13 31 Scoreboards,,,
,,13-33 11 15 Individual Athletic Recreation Spaces,,,,
,,,13-33 11 15 11 Hard Playing Surfaces,,,
,,,13-33 11 15 13 Tennis Courts,,,
,,,13-33 11 15 15 Volleyball Court,,,
,,,13-33 11 15 17 Golf Course,,,
,,,13-33 11 15 19 Driving Range,,,
,,,13-33 11 15 21 Golf Course Support Space,,,
,,,13-33 11 15 23 Skating Rink,,,
,,,13-33 11 15 25 Boxing Ring,,,
,,,13-33 11 15 27 Wrestling Mat,,,
,,,13-33 11 15 29 Diving Board,,,
,,,13-33 11 15 31 Bowling Lane,,,
,,,13-33 11 15 33 Dart Throwing Area,,,
,,,13-33 11 15 35 Circuit Training Course Area,,,
,,,13-33 11 15 37 Running Tracks,,,
,,,13-33 11 15 39 Ski Lift Space,,,
,,,13-33 11 15 41 Exercise Space,,,
,,,13-33 11 15 43 Workout Station,,,
,,,13-33 11 15 45 Aerobic Studio,,,
